"politician_name","party","chamber","state","issuer_name","ticker","published_date","traded_date","filed_after_days","owner","transaction_type","size","price","scraped_at"
"Pramila Jayapal","Democrat","House","WA","Newell Brands Inc","NWL","16 Mar 2026","30 Oct 2023","866","Undisclosed","sell","1K–15K","$6.72","2026-03-16 17:08:26"
"Jefferson Shreve","Republican","House","IN","BRIGHTHOUSE BUFFERED ANNUITY N/A","","16 Mar 2026","8 Feb 2026","33","Undisclosed","sell","5M–25M","N/A","2026-03-16 17:08:26"
"Jefferson Shreve","Republican","House","IN","BRIGHTHOUSE BUFFERED ANNUITY N/A","","16 Mar 2026","8 Feb 2026","33","Undisclosed","sell","5M–25M","N/A","2026-03-16 17:08:26"
"Jefferson Shreve","Republican","House","IN","PRUDENTIAL RILA N/A","","16 Mar 2026","16 Feb 2026","25","Undisclosed","buy","1M–5M","N/A","2026-03-16 17:08:26"
"Jefferson Shreve","Republican","House","IN","PRUDENTIAL RILA N/A","","16 Mar 2026","16 Feb 2026","25","Undisclosed","buy","1M–5M","N/A","2026-03-16 17:08:27"
"Jefferson Shreve","Republican","House","IN","PRUDENTIAL RILA N/A","","16 Mar 2026","16 Feb 2026","25","Undisclosed","buy","1M–5M","N/A","2026-03-16 17:08:27"
"Ed Case","Democrat","House","HI","Apple Inc","AAPL","16 Mar 2026","11 Feb 2026","30","Spouse","buy","1K–15K","$261.73","2026-03-16 17:08:27"
"Julia Letlow","Republican","House","LA","3M Co","MMM","13 Mar 2026","1 Feb 2026","38","Undisclosed","sell","1K–15K","$153.43","2026-03-16 17:08:27"
"Julia Letlow","Republican","House","LA","3M Co","MMM","13 Mar 2026","3 Feb 2026","36","Undisclosed","sell","1K–15K","$163.79","2026-03-16 17:08:27"
"Julia Letlow","Republican","House","LA","Advanced Micro Devices Inc","AMD","13 Mar 2026","1 Feb 2026","38","Undisclosed","buy","1K–15K","$246.27","2026-03-16 17:08:27"
"Julia Letlow","Republican","House","LA","Apple Inc","AAPL","13 Mar 2026","1 Feb 2026","38","Undisclosed","buy","1K–15K","$270.01","2026-03-16 17:08:27"
"Julia Letlow","Republican","House","LA","AT&T Inc","T","13 Mar 2026","11 Feb 2026","28","Undisclosed","sell","1K–15K","$28.80","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Boeing Co","BA","13 Mar 2026","1 Feb 2026","38","Undisclosed","buy","1K–15K","$233.02","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Broadcom Inc","AVGO","13 Mar 2026","11 Feb 2026","28","Undisclosed","sell","1K–15K","$331.17","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Boston Properties Inc","BXP","13 Mar 2026","19 Feb 2026","20","Undisclosed","sell","1K–15K","$60.88","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Cisco Systems Inc","CSCO","13 Mar 2026","1 Feb 2026","38","Undisclosed","buy","1K–15K","$80.64","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Cummins Inc","CMI","13 Mar 2026","3 Feb 2026","36","Undisclosed","buy","1K–15K","$605.63","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Chesapeake Energy Corp","EXE","13 Mar 2026","16 Feb 2026","23","Undisclosed","sell","1K–15K","N/A","2026-03-16 17:08:28"
"Julia Letlow","Republican","House","LA","Extra Space Storage Inc","EXR","13 Mar 2026","11 Feb 2026","28","Undisclosed","buy","1K–15K","$144.34","2026-03-16 17:08:29"
"Julia Letlow","Republican","House","LA","HollyFrontier Corp","DINO","13 Mar 2026","19 Feb 2026","20","Undisclosed","sell","1K–15K","$50.88","2026-03-16 17:08:29"
"Julia Letlow","Republican","House","LA","Humana Inc","HUM","13 Mar 2026","9 Feb 2026","30","Undisclosed","sell","1K–15K","$181.30","2026-03-16 17:08:29"
"Julia Letlow","Republican","House","LA","Icon PLC","ICLR","13 Mar 2026","11 Feb 2026","28","Undisclosed","sell","1K–15K","$80.08","2026-03-16 17:08:29"
"Julia Letlow","Republican","House","LA","Intercontinental Exchange Inc","ICE","13 Mar 2026","11 Feb 2026","28","Undisclosed","sell","1K–15K","$149.83","2026-03-16 17:08:29"
