politician_name,ticker,issuer_name,traded_date,published_date,trade_year,trade_month,trade_quarter,transaction_type,is_buy,is_sell,trade_amount,size,price,filed_after_days,owner,is_joint_ownership,full_name,bioguide_id,party,chamber,age,gender,num_committees,is_committee_leader,committee_power_score,is_leadership,scraped_at
Shelley Moore Capito,ITW,Illinois Tool Works Inc,2026-02-23,2026-03-04,2026,2,1,sell,0,1,8000.0,1K–15K,$294.56,8,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:45
Shelley Moore Capito,PAYX,Paychex Inc,2026-02-19,2026-03-04,2026,2,1,sell,0,1,8000.0,1K–15K,$91.24,12,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:45
Shelley Moore Capito,BLK,Blackrock Inc,2026-02-09,2026-03-04,2026,2,1,sell,0,1,8000.0,1K–15K,"$1,087.78",22,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:46
Shelley Moore Capito,ADI,Analog Devices Inc,2026-02-09,2026-03-04,2026,2,1,sell,0,1,8000.0,1K–15K,$325.16,22,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:46
Shelley Moore Capito,AVGO,Broadcom Inc,2026-02-08,2026-03-04,2026,2,1,buy,1,0,8000.0,1K–15K,$343.94,23,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:46
Shelley Moore Capito,GOOGL,Alphabet Inc,2026-02-08,2026-03-04,2026,2,1,buy,1,0,8000.0,1K–15K,$324.40,23,Spouse,0,Shelley Moore Capito,C001047,Republican,Senate,73.0,F,18.0,1.0,22.0,0.0,2026-03-04 13:54:46
Virginia Foxx,ARLP,Alliance Resource Partners LP,2026-02-12,2026-03-03,2026,2,1,buy,1,0,8000.0,1K–15K,$25.82,17,Undisclosed,0,Virginia Foxx,F000450,Republican,House,83.0,F,5.0,0.0,5.0,0.0,2026-03-04 13:54:46
Markwayne Mullin,MTZ,MasTec Inc,2026-02-03,2026-03-02,2026,2,1,sell,0,1,32500.0,15K–50K,$235.44,26,Joint,1,Markwayne Mullin,M001190,Republican,Senate,49.0,M,15.0,1.0,19.0,0.0,2026-03-04 13:54:47
Markwayne Mullin,MPWR,Monolithic Power Systems Inc,2026-02-03,2026-03-02,2026,2,1,buy,1,0,32500.0,15K–50K,"$1,136.83",26,Joint,1,Markwayne Mullin,M001190,Republican,Senate,49.0,M,15.0,1.0,19.0,0.0,2026-03-04 13:54:54
Markwayne Mullin,MCK,McKesson Corp,2026-02-03,2026-03-02,2026,2,1,buy,1,0,32500.0,15K–50K,$822.00,26,Joint,1,Markwayne Mullin,M001190,Republican,Senate,49.0,M,15.0,1.0,19.0,0.0,2026-03-04 13:54:54
